NAME,CATEGORIES,DESCRIPTION,LATITUDE,RATING,LONGITUDE,DESTINATION,GENERAL_LOCATION,ID,split
Escape del Secuestro,"['Fun & Games', 'Room Escape Games']",,40.39734,5.0,-3.70616,Madrid,"Paseo de las Yeserías,63, 28005",8603436,train
Zeus Superior Cruises,"['Tours', 'Boat Tours & Water Sports', 'Outdoor Activities', 'Boat Tours']",Zeus is a beautiful traditional wooden sailing boat. Every cruise feels exclusive thanks to the small number of passengers and the generous space on board. The deck comfortably carries 12 sunbeds so there's always one for every passenger and guaranteeing relaxation. Due to the high demand pre-booking via email is strongly recommended: zeuslazydayz@hotmail.com. We sail daily at 10.00 from the beautiful harbour of Kardamena and cruise along the southerly shores of Kos. The water is calm and clear and the beautiful beaches and scenery are breathtaking. Masks and snorkels are included and you'll have the opportunity to swim at three incredibly beautiful spots including a bay where you’ll see hundreds of fish and a place where volcanic gas escapes from the sea bed forming a natural jacuzzi. A delicious Greek style Meze lunch is served at the captain's table. Alcoholic and soft drinks are served throughout the day. Our aim is to help you relax and enjoy the best day of your holiday.,36.781384,5.0,27.14503,Greece,,3179259,train
Musee De Cluny,"['Museums', 'Art Museums']","This museum, located in a spacious former hotel, houses a collection of medieval art, including jewelry, tapestries and sculptures.",48.850452,4.5,2.34406,Paris,"28 Rue du Sommerard, 75005",188484,train
National Maritime Museum,"['Museums', 'Specialty Museums']","Experience the world's largest maritime museum, filled with inspirational stories of exploration and endeavour at sea and packed to the gunwales with intriguing objects and fascinating galleries. See the uniform Nelson wore at the Battle of Trafalgar, steer a ship into port and fire at pesky pirates.",51.481068,4.0,-0.005323,London,"Park Row, Greenwich Peninsula, SE10 9NF",187600,train
The City by Experiencity,"['Fun & Games', 'Room Escape Games']",,40.4093,5.0,-3.70647,Madrid,,13278263,train
Memorial of the Berlin Wall,"['Sights & Landmarks', 'Historic Sites']","The Berlin Wall Memorial is the central memorial site of German division, located in the middle of the capital. Situated at the historic site on Bernauer Strasse, it extends along 1.4 kilometers of the former border strip. The memorial contains the last piece of Berlin Wall with the preserved grounds behind it and is thus able to convey an impression of how the border fortifications developed until the end of the 1980s. The events that took place here together with the preserved historical remnants and traces of border obstacles on display help to make the history of Germany's division comprehensible to visitors. The memorial is part of the Berlin Wall Foundation, which also includes the Marienfelde Refugee Center Museum, the central site dedicated to the history of flight and emigration in divided Germany. MOBILE TOURGUIDE Visitors to the Berlin Wall Memorial who have a smartphone or a tablet computer with internet access at their disposal have the opportunity to select an individual tour of the memorial grounds for themselves on the memorial's mobile website berliner-mauer.mobi.",52.534954,4.5,13.390146,Berlin,,196239,train
The Amsterdam Dungeon,"['Museums', 'Fun & Games', 'Specialty Museums', 'Game & Entertainment Centers']","Amsterdam's murky past comes to life at the Amsterdam Dungeon * walk through Amsterdam’s sinister past * 500 years of history brought to you in about 80 minutes * meet our witch hunter, soul merchant and many other mouth breathers * go deep into the dungeon with (max) 29 other sinners * you are part of the show (or push another victim forward) * Scary True Stories and 'orrible Actors * English spoken… but also available in Dutch…. If you want to brag! * 10 years or younger? We wouldn’t do it, but that’s just an advise * Don’t tell anyone, but you can leave if you can’t take it anymore",52.370174,4.0,4.892266,Amsterdam,,599199,train
Donkey Scooters,"['Outdoor Activities', 'Gear Rentals']",,36.624763,5.0,24.92585,Greece,,8090986,train
Musee du Parfum - Fragonard,"['Museums', 'Specialty Museums']","The museum reveals the secrets to the perfume trade, as well as a collection of precious objects tracing the history of perfume from antiquity to the present day. Immersed in the atmosphere of a late nineteenth century perfume factory, visitors will discover the world of fragrance through a set design that combines ancient artefacts, archives and videos of modern production.",48.871548,4.5,2.329171,Paris,"9, Rue Scribe, 75009",10128174,train
Aladdin el Musical - Teatro Coliseum Madrid,"['Concerts & Shows', 'Theaters']","A GREAT MUSICAL? WISH GRANTED! Following an undeniable success with critics and audiences since its premiere and triumphing at the Broadway World Spain Audience Awards, where it won in 7 categories including Best Musical, Aladdin begins its second season in Madrid. One of Disney's great musicals, produced by Stage Entertainment, continues to fill the Coliseum Theatre in Madrid with magic, spectacle, and fun. A surprising journey full of dreams, intrigue, and friendship, where you won't cease to be moved by the fantastic story of Aladdin. You'll enjoy one of the most outstanding soundtracks in history and a stage production that is pure magic. Don't miss the chance to experience this musical that will fulfill all your wishes.",40.42323,4.0,-3.710342,Madrid,,4170335,train
Mementorium,"['Concerts & Shows', 'Theaters']",,40.419994,5.0,-3.70578,Madrid,,14176968,train
Galleria Borbonica,"['Sights & Landmarks', 'Museums', 'History Museums', 'Historic Sites']","Enchanting scenery that unfolds to the eyes of visitors, a secret place full of history and magic atmosphere.An emotional journey that conducts visitors in the new section of the underground of Naples. It is situated in Vico del Grottone 4, from to 150 mt. to Plebiscito Square. Until a few years ago it wasa veterinary laboratory, now is the entrance of the Bourbon Tunnel. A staircase with 8 ramps, 33 yards deep descending into the belly of Chiaia. The second entry is in Via Domenico Morelli,40, through the crosswalk of “Quick parking”.The Tunnel was built in 1853 by Ferdinand II of Bourbon, who, concerned about the outbreak of rebellion, he asked for an escape from the Royal Palace to the barrack in Via della Pace, now Via Morelli. The work was uncompleted and, during the second World War, was used by residents of the area as a military hospital, later becoming the Hall Judicial Deposit.The war left its mark even in the subsoil. That’s way there are handwrite, folding beds, messages of wish and desolation of those who lived it and still maintains its memory. Along the tunnel thereare also the evidences, 530 meters, where visitors can discover the history of real life. Through the spacious streets, it’s easy reachable the network of tunnels and cisterns of seventeenth-century,large buildings, where worked the ""pozzari"", the only connoisseur of Naples underground.The show is stunning, but that's not finished. On Via Morelli appear statues dating back to fascist period and many cars and motorcycles, abandoned for years, freed from piles of rubbish, arranged and illuminated ad hoc for the route.Nothing is left to chance, even lighting, perfectly integrated with the path of the visitors.Since today everything is possible to visit. Five years ago the scenery was completely different.Rubbish, degradation, wastes of all kinds covered the reliquaries.",40.835693,5.0,14.246239,Naples,,2161503,train
"Anne Frank, Her Diary On Stage","['Concerts & Shows', 'Theaters']","Experience “Anne Frank, her Diary on Stage”, a theater play based on the life of Anne Frank. It covers the 2 years spent by Anne and her family hidden in the secret annex, as well as events occurring before and after that time. Anne's words poignantly reflect the tensions and tragedy of existence during her family’s time in hiding and make the period come alive. The life-sized set, 180 degrees around the audience, combined with archive footage and beautiful music makes it possible for you to experience Anne's journey that takes the lonely little girl to writing and into womanhood in the midst of terrible oppression. Free use of our Translation System, in audio and/or subtitles on an iPad fixed in front of your seat in 7 languages, 100% synchronized with the actors on stage. “Anne Frank, her Diary on Stage” is the first-ever theater performance based on all the versions of her diaries, including the uncensored ones edited by Anne Frank herself. This theater performance was created at the initiative of the Anne Frank Foundation in Basel. Income from the Frank estate is redirected to fund educational and charitable purposes worldwide.",52.39703,5.0,4.87775,Amsterdam,,7808640,train
Officina delle Arti Antiche,"['Classes & Workshops', 'Fun & Games', 'Paint & Pottery Studios', 'Lessons & Workshops']","Fresco and Mosaic Workshop . An unforgettable day in which to learn to play a real fresco of a famous artist . With ancient pigments can try painting on fresh plaster to bring immediately away your only job ! We will work in the heart of Rome immersed in history ! We guide you to visit Rome, the Sistine Chapel and the most beautiful monuments of the city and then you have an experience of art with your own hands .",41.9002,5.0,12.47247,Rome,"Via Gino Capponi 23, 00179",8842056,train
Deutsches Historisches Museum,"['Sights & Landmarks', 'Museums', 'Architectural Buildings', 'History Museums', 'Points of Interest & Landmarks']","The Deutsches Historisches Museum (German Historical Museum) presents its exhibitions in the Pei building designed by the Chinese-American architect I.M. Pei. The unique Baroque Zeughaus (armoury) on the avenue Unter den Linden is closed for necessary renovations and for the renewal of the Permanent Exhibition. The Museum is Germany’s national historical museum. Located in Berlin’s historic district of Mitte, it sees itself as a place of active communication and discussion of history.",52.51882,4.5,13.396879,Berlin,"Unter den Linden 2, 10117",274497,train
Zurich Succulent Plant Collection,"['Sights & Landmarks', 'Points of Interest & Landmarks']",,47.35603,4.5,8.53501,Zurich,,2022650,train
Museo del Corallo Ascione,"['Museums', 'Specialty Museums']","By appoinment. The coral and cameos jewellery museum Ascione is in Naples inside the Galleria Umberto I building, opposite the opera-Teatro di San Carlo and near the Royal Palace of Naples. Here you can visit a museum founded as a tribute to the past generations engaged in this successful activity by Ascione Family. It also includes a didactic and an artistic sections, displaying not only hundreds of jewels as witnesses of red coral and Cameo manufacture from 1805 to 1950, but also ancient documents, tools, machinery and pictures to revive and to go on along a journey started 150 years ago.",40.83793,5.0,14.249282,Naples,"Piazzetta Matilde Serao 19, Angiporto Galleria Umberto I, 80132",2021640,train
Funicolare Centrale,"['Transportation', 'Mass Transportation Systems', 'Tramways']",,40.84238,4.0,14.233787,Naples,,14023881,train
Little BIG City Berlin,"['Museums', 'Specialty Museums', ""Children's Museums"", 'History Museums']","At Little BIG City, the unique history of Berlin becomes an exciting experience for everyone. With attention to detail we brought the great moments and little stories of the last 750 years to life in a very special way. More than 100 historic buildings, 30 projectors, 15 holograms, countless projections, modern lighting and sound effects and more than 6,000 figures make the history of the city exciting and come alive.",52.520733,4.0,13.408474,Berlin,"Panoramastr. 1A, Am Fuße des Fernsehturms, auf Seite der Marienkirche, 10178",12081161,train
Sowjetisches Ehrenmal Treptow,"['Sights & Landmarks', 'Points of Interest & Landmarks']",,52.4862,4.5,13.47178,Berlin,"Alt-Treptow 1, 10117",6400534,train
Viktoriapark,"['Nature & Parks', 'Parks']",,52.49002,4.0,13.38267,Berlin,"Kreuzbergstraße 15, 10965",6880858,train
Sultan Suleyman Hamam,"['Spas & Wellness', 'Spas', 'Hammams & Turkish Baths']",Traditional Turkish Bath & Massage Traditional Hamam Program Hamam Plus Program Sultan Vip Program,41.00877,4.5,28.975187,Istanbul,"Alemdar Mahallesi Dr.Eminpaşa Sokak No:7, 34400",15813922,train
iFLY Paris,"['Fun & Games', 'Game & Entertainment Centers']","Windtunnel for indoor skydiving. Accessible to everyone, starting from 5 years old. The tallest glass tube in the World, to discover and practice freefall safely. Delivering the dream of flight to everyone!",48.895836,4.5,2.38948,Paris,"30 Avenue Corentin Cariou, Vill'Up à La Villette, 75019",11811003,train
Tina The Musical,"['Concerts & Shows', 'Performances']",,51.51307,4.5,-0.1185509999999999,London,"49 Aldwych, Aldwych Theatre, WC2B 4DF",14209555,train
Soviet Memorial Tiergarten,"['Sights & Landmarks', 'Historic Sites']",,52.51663,4.0,13.371928,Berlin,"Straße des 17. Juni, 10623",313986,train
Brush and Bubbles,"['Classes & Workshops', 'Other', 'Fun & Games', 'Paint & Pottery Studios']","Brush and Bubbles is an art class where you will create your own canvas painting with the step by step guidance from our resident artist, whilst you sip on a delicious glass of bubbly. No experience necessary! Just paint, drink and have fun!",51.50666,5.0,-0.2391,London,"Brush and Bubbles, 11 Goodwins Court, WC2N 4LL",19860210,train
La Orden by Experiencity Escape Room,"['Fun & Games', 'Room Escape Games']","En algún lugar oculto de Madrid, La Orden trabaja al margen de lo permitido para dar la oportunidad de conocer el otro punto de vista de los grandes hechos históricos a aquellos interesados que muestren ser merecedores de su conocimiento. Ven a nuestro escape room y descubre la otra versión de la Historia.",40.395443,5.0,-3.69747,Madrid,"Calle Tomás Borrás, 10, 28045",23432929,train
Basilica dei SS. Ambrogio e Carlo al Corso,"['Sights & Landmarks', 'Churches & Cathedrals']",,41.90536,4.5,12.477825,Rome,,2348522,train
1st Arrondissement,"['Sights & Landmarks', 'Other', 'Neighborhoods']","Situated principally on the right bank of the River Seine, it also includes the west end of the Île de la Cité. The arrondissement is one of the oldest in Paris, the Île de la Cité having been the heart of the city of Lutetia, conquered by the Romans in 52 BC, while some parts on the right bank (including Les Halles) date back to the early Middle Ages. It is the least populated of the city's arrondissements and one of the smallest by area, a significant part of which is occupied by the Louvre Museum and the Tuileries Gardens. Much of the remainder of the arrondissement is dedicated to business and administration.",48.863052,4.5,2.330814,Paris,"Entre Rues Étienne Marcel, des Petits Champs, Daniele Casanova, des Capucines, et Quais des Tuileries, François Miterrand, du Louvre, de La Mégisserie, 75001",6642124,train
Theater des Westens,"['Concerts & Shows', 'Theaters']",,52.505512,4.5,13.328989,Berlin,,2479088,train
Torre de ses Portes,"['Sights & Landmarks', 'Observation Decks & Towers']",,38.831966,4.5,1.405981,Ibiza,,2511670,train
Santa Gertrudis,"['Sights & Landmarks', 'Points of Interest & Landmarks']",,38.998,4.5,1.428281,Ibiza,,4137884,train
VRGH ARENA,"['Fun & Games', 'Game & Entertainment Centers']","Amsterdam’s first Virtual Reality Free Roam Experience!. Discover our different Exclusive and Mind-blowing VR Experiences and Games with your friends, family or co-workers. We offer single-player as well as multi-player games. Race each other in our full VR-racing machines with pedals, flippers and high-end steering wheel. Or play up to 5 friends at the same time, in the same world! Work as a team or fight against each other. We also offer private events such as: kids parties, bachelor / bachelorette parties, staff outing and so on. Flying, shooting, painting, bow and arrow, skiing and many more to explore… ! Come visit us at VR Gamehouse Amsterdam…",52.37342,5.0,4.895475,Amsterdam,"Gyroscoopweg 102, 1042 AX",12482969,train
Helmut Newton Foundation,"['Museums', 'Art Museums', 'Specialty Museums']",,52.50792,4.0,13.332243,Berlin,,507279,train
Arcibasilica di San Giovanni in Laterano,"['Sights & Landmarks', 'Churches & Cathedrals']","Known to be the first church in Christendom, this church belongs to the Vatican and has the privileges of extraterritoriality.",41.88592,4.5,12.506004,Rome,,192276,train
The Magic Circle Theatre,"['Concerts & Shows', 'Theaters']","The Magic Circle Headquarters is home to the world's premier magical society, The Magic Circle. It also houses a theatre, museum and entertainment space. We regularly hold events and open days for the public including History and Mystery at The Magic Circle, At Home with The Magic Circle, Close-up at The Magic Circle, Monday Morning Magic and The Magic Circle Christmas Show. Admission to these events is by advance booking only via our website. The nearest tube stations are Euston Square (2 min walk) and Warren Street (5 minute walk) Note The Magic Circle HQ is not open for casual visits.",51.526463,5.0,-0.1352819999999999,London,"12 Stephenson Way, NW1 2HD",3533244,train
Jardin des Tuileries,"['Nature & Parks', 'Gardens']","Located within the Place de la Concorde, this garden demonstrates the Parisian style of intricate landscaping.",48.863255,4.5,2.327549,Paris,"Place de la Concorde, 75001",194171,train
Deutsche Oper Berlin,"['Concerts & Shows', 'Theaters']",This performance center is the primary place to view opera and ballet in West Berlin.,52.51205,4.5,13.308131,Berlin,,190530,train
Stamford Bridge,"['Sights & Landmarks', 'Arenas & Stadiums']",,51.48158,4.5,-0.19109,London,"Stamford Bridge Fulham Road, SW6 1HS",13090144,train
Palazzo Reale,"['Sights & Landmarks', 'Points of Interest & Landmarks', 'Architectural Buildings', 'Historic Sites']",,40.83647,4.5,14.24785,Naples,"Piazza del Plebiscito 1, 80132",243324,train
Can Rich de Buscastell,"['Food & Drink', 'Wineries & Vineyards']",Winery and wine-growing estate that uses ecological farming and also produces herb liqueur and olive oil.,38.98652,4.5,1.32407,Ibiza,,667732,train
Alpine Zone,"['Tours', 'Boat Tours & Water Sports', 'Nature & Parks', 'Outdoor Activities', 'Ski & Snowboard Areas', '4WD, ATV & Off-Road Tours', 'River Rafting & Tubing', 'Canyoning & Rappelling Tours']","Alpine Zone is a tourist agency certified from GNTO ( Greek National Tourism Organization) in a northern Greece Epirus region specializing in outdoor activities in Greece.We are a member of the International Rafting Federation, HATTA and we are certified with ISO 9001:2000. Alpine Zone gives you the chance to meet the scenic beauty of Northern and Southern Pindos with a wide range of outdoor - mountainous recreation activities. We do sightseeing tours in Zagori and 4x4 jeep tours in the biggest national park in Greece, Valia Calda. We also organize white water river rafting in the rivers Arachthos Kalarritikos and Voidomatis. Our rafting guides and tour leaders are certified.",39.66244,5.0,20.848831,Greece,,5877578,train
Your Day Tours,"['Tours', 'Outdoor Activities', 'Nature & Wildlife Tours', 'Bus Tours', 'Day Trips']","Your Day Tours is a small family owned company in Iceland. We have no plans to become a big bus company. We have few small busses and want to keep our tours personal and fun. We offer taste of Icelandic food, free Wifi and Icelandic music on board.",64.15539,5.0,-21.94605,Iceland,,8132377,train
El Born,"['Sights & Landmarks', 'Other', 'Neighborhoods']","Off-beat and fashionable neighborhood that features historic attractions, art galleries, funky shops, bars and tapas.",41.387,4.5,2.17611,Barcelona,,254718,train
Friendship Amsterdam,"['Tours', 'Boat Tours & Water Sports', 'Outdoor Activities', 'City Tours', 'Boat Tours', 'Water Sports', 'Sightseeing Tours', 'Private Tours']","Experience “The Ultimate Amsterdam Experience” from the water. Book Amsterdam’s most unique and trendy boats for your trips with clients, friends and family or hop on one of our scheduled luxury canal cruises. Enjoy our city like a local. We will start behind Dam Square at the Krasnapolsky dock for a one hour open boat canal cruise. You will see many highlights told by the skipper/hostess.",52.373573,5.0,4.898487,Amsterdam,"Oudezijds Voorburgwal 230, 1012 EL",6219557,train
Dias Beekeeping,"['Sights & Landmarks', 'Farms']","Only by appointment ! Please contact us before! Walk Through a Honeybee Hive with a Local Beekeeping Expert. Don a suit and head into an apiary, where you’ll see an open hive and hold a frame of live bees; conclude your visit with honey tastes. Weather permit it !!!",38.115406,5.0,20.528748,Greece,,8446539,train
Alte Forsterei,"['Sights & Landmarks', 'Arenas & Stadiums']",,52.45652,5.0,13.56571,Berlin,,2435912,train
Sundhollin Public Baths,"['Spas & Wellness', 'Water & Amusement Parks', 'Fun & Games', 'Sports Complexes', 'Water Parks', 'Thermal Spas']",,64.14185,4.5,-21.920824,Iceland,,6702552,train
Glow MiniGolf Amsterdam,"['Fun & Games', 'Mini Golf']","GlowGolf Amsterdam is de nieuwste trend in Amsterdam voor jong en oud. Met het thema; “Back to the Future in 15 Holes”, zullen de deelnemers zich spelenderwijs door een aantal kenmerkende en historische tijdzones begeven. Het spel neemt je mee door de tijd van de eerste bewoners van de aarde tot aan de hypermoderne toekomst.Met glow-in-the-dark-minigolf wordt tijdreizen een ware beleving om nog vaak te herhalen.",52.371204,4.0,4.912069,Amsterdam,,3703587,train
The Lava Tunnel,"['Tours', 'Outdoor Activities', 'Eco Tours', 'Sightseeing Tours']","Explore the magnificent Lava Tunnel, or cave Raufarholshellir, one of the longest and best-known lava tubes in Iceland. It is located just 35 minutes from Reykjavik and is easily accessed year round. A journey into The Lava Tunnel is a unique experience and a great opportunity to witness the inner workings of a volcanic eruption as one walks in the path of lava that flowed 5.200 years ago. Get to explore the tunnel in an easy and enjoyable manner on our standard tour. The tunnel itself is a natural wonder, therefore the terrain is not easily accessible. To help our guests navigate through it, we have installed a foot bridge and lighting rigs into the rock bed. The lights illuminate the cave, further enhancing the experience and highlighting the ever-changing colors, landscape and geological formations inside the cave.",63.940636,4.5,-21.397257,Iceland,,11807097,train
Altstadt Spandau,"['Sights & Landmarks', 'Other', 'Neighborhoods']",,52.53773,4.0,13.20653,Berlin,"Markt, 13597",590976,train
Friedrichstrasse,"['Sights & Landmarks', 'Points of Interest & Landmarks']",This street is one of Berlin's largest and most elegant commercial districts.,52.507534,4.0,13.390488,Berlin,Friedrichstraße,190583,train
Just Art! Paris,"['Shopping', 'Classes & Workshops', 'Museums', 'Gift & Specialty Shops', 'Art Galleries', 'Lessons & Workshops']","Welcome to Le Marais, a trendy, vibrant, and creative area located in the heart of Paris. Many popular activities are actually located at walking distance from us! We are surrounded with amazing cafés, restaurants, boutiques and art galleries. At the studio, you will experience and share the excellence of French savoir-faire in luxury jewelry. First of all, we will get to know each other around a homemade feast and a bottle of wine. Then, I will introduce you to my world, a world of beautiful colors and shapes. You will then be invited to sit in the designer's seat and will have the unique opportunity to unleash your creativity and actually design your own piece of jewelry. A unique piece for a unique you! And a rare occasion to make friends with local and international guests like you! You will work on the piece for as long as time allows. I will then complete the work and ship it to you. A suprisingly relaxing experience and beautiful beautiful memories to come back home with!",48.855343,5.0,2.361857,Paris,"3 Rue de Sévigné, 75004",12617559,train
Time & Space by Andrew Rogers,"['Sights & Landmarks', 'Architectural Buildings', 'Monuments & Statues']",,38.94013,4.5,1.29438,Ibiza,,14538718,train
BrainBreak Escaparoom,"['Fun & Games', 'Room Escape Games']",,40.410923,5.0,-3.70621,Madrid,"Calle Encomienda 12, 28012",7788927,train
The Courtauld Gallery,"['Shopping', 'Museums', 'Gift & Specialty Shops', 'Art Galleries', 'Art Museums']","The Courtauld Gallery is home to one of the world’s great art collections, located in the magnificent historical setting of Somerset House in central London. The Courtauld’s much-loved collection includes paintings, drawings, prints, sculpture and decorative arts ranging from the Renaissance through to the 20th century. The Gallery is renowned for its remarkable group of Impressionist and Post-Impressionist paintings, including the world-famous A Bar at the Folies Bergère by Édouard Manet, Self-Portrait with Bandaged Ear by Vincent van Gogh and the most significant collection of works by Cézanne in the UK. These masterpieces are displayed in The Courtauld’s spectacularly restored LVMH Great Room – London’s oldest purpose-built exhibition space. There are also galleries dedicated to the Medieval and Early Renaissance periods, rooms devoted to 20th century art and the Bloomsbury Group, and dedicated galleries for temporary exhibitions.",51.51164,4.5,-0.117598,London,"Somerset House Strand, Somerset House, WC2R 0RN",1632504,train
Aurora Basecamp,"['Nature & Parks', 'Nature & Wildlife Areas']","What is Aurora Basecamp? The Northern Lights Observatory is a purpose-built site designed to instruct visitors in how to increase their chances of having a safe and successful aurora viewing experience in Iceland – both at the Aurora Basecamp facility itself and during their travels throughout the country. What services does ABC offer? Experienced guides educate visitors about the science behind the Northern Lights phenomena, provide instruction on how best to search for them and explain how to interpret the vast amount of data available while searching for the Aurora Borealis. The guides also help clients take pictures and give instructions on how to adjust the camera to capture the best photos.",64.00994,5.0,-21.935162,Iceland,,6894564,train
Basilica di Santa Maria degli Angeli e dei Martiri,"['Sights & Landmarks', 'Churches & Cathedrals']","Spectacular church full of breathtaking statues and paintings. Located near the Termini station in Rome, this church is guaranteed to leave you gasping in admiration.",41.90419,4.5,12.49699,Rome,,246182,train
Santorini Wine Adventure,"['Food & Drink', 'Tours', 'Private Tours', 'Day Trips', 'Wine Tours & Tastings ']","Discover the most legendary wineries and traditional cellars of Santorini through a unique wine-tasting journey. Small-group Wine Tours, Food & Wine tastings, Greek cooking classes & Private tours are some of the trips offered daily to experience the wine, food & culture of Santorini and Greece.",36.375763,5.0,25.431065,Greece,,2666881,train
Seascape VIP cruises,"['Tours', 'Boat Tours & Water Sports', 'Outdoor Activities', 'Boat Tours', 'Private Tours', 'Boat Rentals', 'Speed Boats Tours', 'Day Trips']",Seascape VIP cruises provides new luxury speedboats&Yacht for unique experiences.Our professional team can provide support on planning your route with comfort and safety. Discover our island with VIP speedboats & Yacht and make your memories unforgettable,37.812424,5.0,20.871843,Greece,,14762867,train
La Foodieteca,"['Food & Drink', 'Classes & Workshops', 'Lessons & Workshops', 'Cooking Classes']","LA FOODIETECA is a multifunctional gastronomic space strategically located in the Gothic center of Barcelona, very close to the Cathedral. Specialized in team cooking workshops and private events, this bright and welcoming space has spectacular views over one of the main thoroughfares of the city, turning each workshop or event into unique experiences.",41.3847,5.0,2.177813,Barcelona,"Plaza Ramón Berenguer el Gran, 2, Entresuelo, 08002",7613072,train
Lyttos Spa,"['Spas & Wellness', 'Spas']",,35.33523,5.0,25.352278,Greece,,24105311,train
Free Tours by Foot,"['Food & Drink', 'Tours', 'Food Tours', 'City Tours', 'Walking Tours', 'Night Tours']","We provide pay-what-you-like walking, food and bike tours of London. There is no upfront cost to take our tours and you decide what a tour was worth or what you can afford, even nothing, once the tour is done. Our tours cover neighborhoods, like Westminster or Greenwich as well as theme tours. We also offer free self guided tours of several London neighborhoods.",51.494545,5.0,-0.1899269999999999,London,"149 Cromwell Road, SW5 0TQ",3793226,train
Pandore & Associes,"['Fun & Games', 'Room Escape Games']","Pandore & Associés is the most immersive escape room, in the center of Paris. In our 1st adventure ""Règlement de Contes"", you're recruited for a simple check in the marvelous fairytale' world. What if this little check would be hiding a bigger threat to all this magical kingdom.",48.859623,5.0,2.376687,Paris,"102 boulevard Voltaire, 75011",20103711,train
Paradise Lost,"['Nightlife', 'Bars & Clubs']","Paradise Lost is a wee rum & cocktail bar named after Milton’s epic poem about temptation in the Garden of Eden!  We offer a unique drinking experience and are open daily (except Monday) from 8pm until 3am. Drop by anything or reserve a table, booth or private area by calling Captain Jimmy on 627 589 205. Join us in the neon-lit cobbled lanes of Sa Penya but don’t get too lost!   ",38.90891,5.0,1.43759,Ibiza,,10501389,train
GeoSea,"['Spas & Wellness', 'Thermal Spas', 'Spas']","The GeoSea sea baths enable you to enjoy nature in a unique manner. Thanks to the underground heat, the seawater in the baths is warm and comfortable and the mineral-rich water will caress your skin. While the warm sea works its miracles, you can enjoy the view of the mountain range to the west, Skjalfandi Bay beneath the cliffs and the Arctic Circle itself on the horizon.",66.05239,4.5,-17.362196,Iceland,,14979507,train
Koine Arte,"['Shopping', 'Museums', 'Art Galleries']","Welcome to our art gallery, a Naples treasure since 2000. Nestled in the heart of this vibrant city, we have established ourselves as a renowned destination for art enthusiasts and collectors. For over two decades, we have been dedicated to showcasing the finest Italian and international artists, curating a collection that embodies the essence of artistic excellence. We take great pride in fostering the growth and recognition of both emerging and established artists. Come visit our art gallery, where Italian heritage meets global artistic vision. Our opening hours are from 10 am to 1:30 pm and 4 pm to 8 pm, Monday to Friday. Visits on Saturdays and Sundays are available by appointment only.",40.83543,5.0,14.221836,Naples,"Via Michelangelo Schipa 118, 80122",26259852,train
Hayman's Distillery,"['Food & Drink', 'Distilleries']","Visit us at London's favourite Gin Distillery In Balham, South West London for a behind the scenes look into how we make the Original Gin, distilled in the same way since 1863. Meet the team, see the stills, nose the botanicals and receive a tutored tasting of our gins. Ticket price includes a welcome Hayman's & Tonic, tour & tasting, and 15% off your first bottle purchase in our shop.",51.445007,5.0,-0.143822,London,"8A Weir Road, SW12 0GT",13796674,train
Caixa Forum,"['Museums', 'Specialty Museums']","A postmodern art gallery, it also exhibits retrospectives of artists from earlier time periods.",40.411,4.5,-3.693145,Madrid,,1520028,train
Connecting Rome Airport - Rome Transfer with  Daniele,"['Transportation', 'Taxis & Shuttles']","Daniele is your Driver in Rome ! You want to travel safely and without stress, you can count on my competence and my experience..By booking with me, you will have all my attention in offering you the maximum comfort. We can organize a simple but at the same time effective and safe transfer from the airports of Rome or from the cruise port of Civitavecchia to real day trips such as the Amalfi coast, the archaeological site of Pompeii, or Florence, Orvieto and many other beautiful place near Rome.",41.85382,5.0,12.504024,Rome,,8513839,train
Kollwitzplatz,"['Sights & Landmarks', 'Nature & Parks', 'Parks', 'Historic Sites']",,52.53736,4.5,13.41767,Berlin,,590476,train
Madame Tussauds London,"['Museums', 'Specialty Museums']","STARDOM awaits you! Step into the spotlight as you accept your exclusive invitation to Madame Tussauds London, the home of famous fun in the capital. Join your favourite celebs at the ULTIMATE A-list party, strut your stuff on the catwalk with Cara, take the hot seat alongside will.i.am in The Voice Experience or join the Royal Family on the iconic balcony. Test your bravery in Alien: Escape then explore the jungles of Kong: Skull Island. Hail a London cab and journey through 400 years of the capital’s history before joining the Marvel Super Heroes for a crime-fighting adventure. Then use the force to be transported to a galaxy far, far away and star in the action with the greats of the Star Wars universe. So what are you waiting for? COME ON IN!",51.522907,4.0,-0.1550379999999999,London,"Marylebone Road, NW1 5LR",187535,train
Athens Limo Tours,"['Tours', 'Transportation', 'Sightseeing Tours', 'Day Trips', 'Multi-day Tours', 'Private Tours', 'Taxis & Shuttles']","Athens Limo is a private tour and transportation company based in Athens, that offers highly customizable private tours, walking tours, historic and heritage tours, sightseeing tours and transfers. Our concept of affordable luxury consists in combining our fleet of luxury vehicles with personalized services catered to your every need. Our team consists of experienced and multilingual drivers and professional licensed tour guides with archaeological background studies. Book with us and gain the ultimate travel experience in Greece.",37.969734,5.0,23.72238,Greece,,3239740,train
Escape Room Roma,"['Fun & Games', 'Room Escape Games']","Escape Room Roma is the First Real-Life Escape Game in Rome. Born in 2016, today we could give our customers different kinds of experiences, from the Escape Rooms to the Real Movie Experiences ( With larger Game Areas and more interaction with Actors). Realistic-Horror games is our specialization, try to Believe!",41.928104,5.0,12.522374,Rome,"Via Benadir, 2, 00199",9979876,train
